account active
not a known
unable to deliver to
has left
rocketmail
not found
disabled
user doesn't have a 
invalid recipient
address rejected
no such
not our customer
unavailable
unable to
does not
no longer
known
a ymail
valid mailbox
yahnoo.com
yaho.com
yahoo.cn
yahoo.co.jo
yahooc.om
yahoo.com.cn
yahool.com
yahoomail.co.in
yahoom.com
yahooo.com
yahoo.om
yahpo.com
yyahoo.com
inactive
gmail.cm
gamail.com
hotmmail.com
homail.com
homtail.com
hotail.com
aol.cm
hotmial.com
